,Darija,English,MSA
5236,وفي النهاية، تبدلو الروايد دلخشب بوحدين ديال لحديد. في عام 1767، تدخلات أول سكّات حديدية كاملة.,"Eventually, wooden wheels were replaced by iron wheels. In 1767, the first full-iron rails were introduced.",في نهاية المطاف ، تم استبدال العجلات الخشبية بعجلات حديدية ، وفي عام 1767 ، تم إدخال أول سكة حديدية كاملة.
5237,ومن الوقت فاش تدخّلت الحكومة الفيدرالية باش تاخذ تمويل سبيطار ميرسي في دافنبورت في تسمانيا، انتقدت الحكومة ديال الولاية وبعض النواب الفيدراليين هاذ شي لحقاش شافوها بحال حيلة على ود الدخلة ديال الانتخابات الفيدرالية اللي المفروض غادي تكون في نونبر.,"Ever since the Federal Government stepped in to take over funding of the Mersey hospital in Devonport, Tasmania, the state government and some federal MPs have criticised this act as a stunt in the prelude to the federal election to be called by November.",منذ تدخل الحكومة الفيدرالية لتولي تمويل مستشفى ميرسي في ديفونبورت ، تسمانيا ، انتقدت حكومة الولاية وبعض أعضاء البرلمان الاتحادي هذا الفعل باعتباره خدعة في مقدمة الانتخابات الفيدرالية التي سيتم استدعائها بحلول نوفمبر.
5238,كيمشيو الناس من المدن الصغيرة في طوموبيلاتهم في كل صباح باش يوصلو لبلايص فين خدامين وكيتقابل معهم في الطريق لخدامة لوخرين فلبلاصة اللي عاد جاو منها.,"Every morning, people leave small country towns in cars to go their workplace and are passed by others whose work destination is the place they have just left.",كل صباح ، يغادر الناس المدن الريفية الصغيرة في السيارات للذهاب إلى مكان عملهم ، ويمرون من قبل الآخرين الذين وجهة عملهم هي المكان الذي غادروا للتو.
5239,كولشي قادر يوصل للتنوير. الشيء الوحيد اللي كيعيقنا في الطريق إلى هاذ الهدف هو توترنا وسلبيتنا.,Everyone can achieve enlightenment. The only thing standing in the way of this goal is our own tension and negativity.,يمكن للجميع تحقيق التنوير ، الشيء الوحيد الذي يقف في طريق هذا الهدف هو توترنا وسلبيتنا.
5240,كيشارك الجميع في المجتمع وكيستخدمون أنظمة المواصلات. يشتكي الجميع من أنظمة المواصلات.,Everyone participates in society and uses transportation systems. Almost everyone complains about transportation systems.,يشارك الجميع في المجتمع ويستخدمون أنظمة النقل، ويشتكي الجميع تقريبًا من أنظمة النقل.
5241,خُلِق كل شيء في الكون من مادة. خُلِقت كل المواد من جزيئات صغيرة تُسمي بالذرات.,Everything in the Universe is made of matter. All matter is made of tiny particles called atoms.,كل شيء في الكون مصنوع من مادة، كل مادة مصنوعة من جسيمات صغيرة تسمى الذرات.
5242,تتضمن الأمثلة بحال التحكم والتخطيط ووضع الجداول والقدرة على الإجابة على تشخيصات الزبائن وأسئلتهم، زيادة على التعرف على خط اليد والصوت والوجه.,"Examples include control, planning and scheduling, the ability to answer customer diagnoses and questions, as well as handwriting recognition, voice and face.",وتشمل الأمثلة التحكم والتخطيط والجدول الزمني والقدرة على الإجابة على تشخيصات العملاء وأسئلةهم ، بالإضافة إلى التعرف على الكتابة اليدوية والصوت والوجه.
5243,تتضمن الأمثل على الأنشطة اللي يمكن تدار في الموقع الصيد، وصيد الأسماك، والتصوير، ومشاهدة الطيور، وزيارة الحدائق، ودراسة المعلومات عن النظام البيئي.,"Examples of on-site activities include hunting, fishing, photography, bird watching, and visiting parks and studying information about the ecosystem.",وتشمل الأمثلة على الأنشطة في الموقع الصيد وصيد الأسماك والتصوير الفوتوغرافي ومشاهدة الطيور وزيارة المتنزهات ودراسة المعلومات حول النظام البيئي.
5244,المغنيين المشهورين كيعرضوا في البلاد كلها البهاجانات أو الأغاني الدينية لرجلين شري شيام.,"Famous singers across the country presented bhajans, or devotional songs, to Shri Shyam's feet.",المغنيون المشهورون في جميع أنحاء البلاد قدموا bhajans، أو الأغاني التفانية، إلى أقدام Shri Shyam.
5245,كاينة شلالات نياجرا في أقصى الجنوب، وفي الشمال كاين بيت الطبيعة الجميلة اللي ممستغلاش في مسكوكا وما بعدها.,Farther south is Niagara Falls and the north is home to the untapped natural beauty of the Muskoka and beyond.,أبعد جنوبًا هو شلالات نياجرا ، والشمال هو موطن للجمال الطبيعي غير المستغل لـ Muskoka وما وراءه.
5246,لمخاوف نتاع نقص وسائل التنقل أدات لاحتمالية يتدار الماتش خلف أبواب مغلقة، بلا مشجعين الفريق.,Fears of lack of transportation raised the possibility that the game would be forced to play behind closed doors without the team's supporters.,أثارت المخاوف من نقص وسائل النقل إمكانية أن يتم إجبار المباراة على اللعب خلف أبواب مغلقة دون أنصار الفريق.
